,frame,timestamp,emotion,score,old_emotion,scene,emotion_shift
0,0,0.0,no_emotion,0.74,neutral,0,False
1,3,0.1304347826086956,no_emotion,0.74,neutral,0,False
2,6,0.2608695652173913,no_emotion,0.79,neutral,0,False
3,9,0.391304347826087,no_emotion,0.71,neutral,0,False
4,12,0.5217391304347826,no_emotion,0.8,neutral,0,False
5,15,0.6521739130434783,no_emotion,0.44,neutral,0,False
6,18,0.782608695652174,no_emotion,0.55,neutral,0,False
7,21,0.9130434782608696,no_emotion,0.52,neutral,0,False
8,24,1.0434782608695652,no_emotion,0.38,neutral,0,False
9,27,1.173913043478261,no_emotion,0.5,neutral,0,False
10,30,1.3043478260869563,no_emotion,0.48,neutral,0,False
11,33,1.434782608695652,no_emotion,0.57,happy,0,False
12,36,1.565217391304348,no_emotion,0.34,sad,0,False
13,39,1.6956521739130437,no_emotion,0.73,neutral,0,False
14,42,1.826086956521739,no_emotion,0.7,neutral,0,False
15,45,1.9565217391304348,no_emotion,0.71,neutral,0,False
16,48,2.0869565217391304,no_emotion,0.75,neutral,0,False
17,51,2.217391304347826,no_emotion,0.78,neutral,0,False
18,54,2.347826086956522,no_emotion,0.79,neutral,0,False
19,57,2.4782608695652173,no_emotion,0.77,neutral,0,False
20,60,2.608695652173913,no_emotion,0.75,neutral,1,False
21,63,2.739130434782609,no_emotion,0.0,,1,False
22,66,2.869565217391304,no_emotion,0.0,,1,False
23,69,3.0,no_emotion,0.0,,1,False
24,72,3.130434782608696,no_emotion,0.0,,1,False
25,75,3.260869565217391,no_emotion,0.0,,1,False
26,78,3.391304347826087,no_emotion,0.0,,1,False
27,81,3.5217391304347827,no_emotion,0.0,,1,False
28,84,3.652173913043478,no_emotion,0.0,,1,False
29,87,3.782608695652174,no_emotion,0.0,,1,False
30,90,3.9130434782608696,no_emotion,0.0,,1,False
31,93,4.043478260869565,no_emotion,0.0,,1,False
32,96,4.173913043478261,no_emotion,0.0,,1,False
33,99,4.304347826086956,no_emotion,0.0,,1,False
34,102,4.434782608695652,no_emotion,0.0,,1,False
35,105,4.565217391304348,no_emotion,0.0,,1,False
36,108,4.695652173913044,no_emotion,0.0,,1,False
37,111,4.826086956521739,no_emotion,0.0,,1,False
38,114,4.956521739130435,no_emotion,0.0,,1,False
39,117,5.086956521739131,no_emotion,0.0,,1,False
40,120,5.217391304347826,no_emotion,0.0,,1,False
41,123,5.3478260869565215,no_emotion,0.0,,1,False
42,126,5.478260869565218,no_emotion,0.0,,1,False
43,129,5.608695652173913,no_emotion,0.0,,1,False
44,132,5.739130434782608,no_emotion,0.0,,1,False
45,135,5.869565217391305,no_emotion,0.0,,1,False
46,138,6.0,no_emotion,0.0,,1,False
47,141,6.130434782608695,no_emotion,0.0,,1,False
48,144,6.260869565217392,no_emotion,0.0,,1,False
49,147,6.391304347826087,no_emotion,0.67,neutral,2,False
50,150,6.521739130434782,no_emotion,0.69,neutral,2,False
51,153,6.652173913043479,no_emotion,0.77,neutral,2,False
52,156,6.782608695652174,no_emotion,0.72,neutral,2,False
53,159,6.913043478260869,no_emotion,0.9,neutral,2,False
54,162,7.043478260869565,no_emotion,0.83,neutral,2,False
55,165,7.173913043478261,no_emotion,0.74,neutral,2,False
56,168,7.304347826086956,no_emotion,0.66,neutral,2,False
57,171,7.434782608695652,no_emotion,0.73,neutral,2,False
58,174,7.565217391304348,no_emotion,0.8,neutral,2,False
59,177,7.695652173913044,no_emotion,0.73,neutral,2,False
60,180,7.826086956521739,no_emotion,0.67,neutral,2,False
61,183,7.956521739130435,no_emotion,0.72,neutral,2,False
62,186,8.08695652173913,no_emotion,0.7,neutral,2,False
63,189,8.217391304347826,no_emotion,0.89,neutral,2,False
64,192,8.347826086956522,no_emotion,0.87,neutral,2,False
65,195,8.478260869565217,no_emotion,0.86,neutral,2,False
66,198,8.608695652173912,no_emotion,0.72,neutral,2,False
67,201,8.73913043478261,no_emotion,0.94,neutral,2,False
68,204,8.869565217391305,no_emotion,0.85,neutral,2,False
69,207,9.0,no_emotion,0.65,neutral,2,False
70,210,9.130434782608695,no_emotion,0.83,neutral,2,False
71,213,9.26086956521739,no_emotion,0.8,neutral,2,False
72,216,9.391304347826088,no_emotion,0.7,neutral,2,False
73,219,9.521739130434783,no_emotion,0.81,neutral,2,False
74,222,9.652173913043478,no_emotion,0.8,neutral,2,False
75,225,9.782608695652174,no_emotion,0.78,neutral,2,False
76,228,9.91304347826087,no_emotion,0.39,sad,2,False
77,231,10.043478260869565,no_emotion,0.29,neutral,2,False
78,234,10.173913043478262,no_emotion,0.73,sad,2,False
79,237,10.304347826086955,no_emotion,0.0,,2,False
80,240,10.434782608695652,no_emotion,0.61,sad,2,False
81,243,10.565217391304348,no_emotion,0.42,surprise,2,False
82,246,10.695652173913045,no_emotion,0.72,sad,2,False
83,249,10.826086956521738,no_emotion,0.0,,2,False
84,252,10.956521739130435,no_emotion,0.0,,2,False
85,255,11.08695652173913,no_emotion,0.0,,2,False
86,258,11.217391304347826,no_emotion,0.0,,2,False
87,261,11.347826086956522,no_emotion,0.0,,2,False
88,264,11.478260869565217,no_emotion,0.0,,2,False
89,267,11.608695652173912,no_emotion,0.0,,2,False
90,270,11.73913043478261,no_emotion,0.0,,2,False
91,273,11.869565217391305,no_emotion,0.0,,2,False
92,276,12.0,no_emotion,0.35,sad,2,False
